phase,longitude,latitude,CRASH_DT,CRASH_YEAR,CRASH_SEVERITY,K_PEOPLE,A_PEOPLE,B_PEOPLE,C_PEOPLE,PERSONS_INJURED,PEDESTRIANS_KILLED,PEDESTRIANS_INJURED,VEH_COUNT,COLLISION_TYPE,WEATHER_CONDITION
Pre-project,-77.09163,38.817994,"Thu, 26 Jan 2017 05:00:00 GMT",2017,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.08952,38.817696,"Tue, 21 Mar 2017 04:00:00 GMT",2017,B,0,0,3,1,4,0,0,4,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089584,38.817231,"Fri, 07 Apr 2017 04:00:00 GMT",2017,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.090668,38.81759,"Mon, 15 May 2017 04:00:00 GMT",2017,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.10108,38.823153,"Wed, 31 May 2017 04:00:00 GMT",2017,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089127,38.817336,"Fri, 09 Jun 2017 04:00:00 GMT",2017,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.097963,38.821956,"Wed, 19 Jul 2017 04:00:00 GMT",2017,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.09783,38.821905,"Mon, 24 Jul 2017 04:00:00 GMT",2017,B,0,0,2,0,2,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089579,38.817259,"Mon, 14 Aug 2017 04:00:00 GMT",2017,O,0,0,0,0,0,0,0,2,5. Sideswipe - Opposite Direction,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089616,38.816986,"Thu, 26 Oct 2017 04:00:00 GMT",2017,O,0,0,0,0,0,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.08981,38.817438,"Wed, 07 Feb 2018 05:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,2. Angle,5. Rain
Pre-project,-77.089611,38.817029,"Wed, 11 Apr 2018 04:00:00 GMT",2018,B,0,0,2,1,3,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.097946,38.821949,"Fri, 04 May 2018 04:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089551,38.817416,"Fri, 04 May 2018 04:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089717,38.81743,"Thu, 07 Jun 2018 04:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.09783,38.821905,"Mon, 18 Jun 2018 04:00:00 GMT",2018,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.09005,38.817465,"Sat, 07 Jul 2018 04:00:00 GMT",2018,C,0,0,0,1,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.095501,38.820912,"Sun, 08 Jul 2018 04:00:00 GMT",2018,A,0,1,0,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089543,38.81749,"Tue, 17 Jul 2018 04:00:00 GMT",2018,B,0,0,1,0,1,0,0,2,2. Angle,5. Rain
Pre-project,-77.104685,38.824185,"Sat, 11 Aug 2018 04:00:00 GMT",2018,A,0,1,0,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089621,38.816943,"Sat, 01 Sep 2018 04:00:00 GMT",2018,A,0,2,0,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.104353,38.824098,"Wed, 05 Sep 2018 04:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089558,38.817374,"Tue, 23 Oct 2018 04:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.104213,38.824132,"Fri, 26 Oct 2018 04:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,2. Angle,5. Rain
Pre-project,-77.094489,38.820261,"Tue, 06 Nov 2018 05:00:00 GMT",2018,O,0,0,0,0,0,0,0,2,2. Angle,5. Rain
Pre-project,-77.089214,38.817357,"Fri, 18 Jan 2019 05:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.097946,38.821949,"Tue, 26 Feb 2019 05:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.104198,38.824057,"Sun, 17 Mar 2019 04:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.104212,38.82416,"Fri, 05 Apr 2019 04:00:00 GMT",2019,B,0,0,2,0,2,0,2,1,12. Ped,4. Mist
Pre-project,-77.089553,38.817402,"Wed, 24 Apr 2019 04:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,3. Head On,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.104451,38.824123,"Tue, 21 May 2019 04:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089426,38.817396,"Mon, 03 Jun 2019 04:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.089588,38.817419,"Sat, 13 Jul 2019 04:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Pre-project,-77.104214,38.823864,"Mon, 22 Jul 2019 04:00:00 GMT",2019,B,0,0,2,1,3,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Implementation,-77.104192,38.823608,"Sun, 13 Oct 2019 04:00:00 GMT",2019,B,0,0,1,0,1,0,0,2,2. Angle,5. Rain
Implementation,-77.100169,38.822817,"Fri, 25 Oct 2019 04:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy)
Implementation,-77.089543,38.81749,"Wed, 30 Oct 2019 04:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Implementation,-77.093268,38.819351,"Wed, 27 Nov 2019 05:00:00 GMT",2019,B,0,0,1,0,1,0,0,1,6. Fixed Object in Road,1. No Adverse Condition (Clear/Cloudy)
Implementation,-77.098111,38.822014,"Tue, 03 Dec 2019 05:00:00 GMT",2019,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Implementation,-77.104216,38.824031,"Wed, 11 Dec 2019 05:00:00 GMT",2019,B,0,0,1,0,1,0,0,2,2. Angle,5. Rain
COVID disruption,-77.103935,38.823995,"Thu, 16 Jan 2020 05:00:00 GMT",2020,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.09975,38.822654,"Fri, 21 Feb 2020 05:00:00 GMT",2020,O,0,0,0,0,0,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.096157,38.821243,"Mon, 09 Mar 2020 04:00:00 GMT",2020,B,0,0,1,0,1,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.094457,38.820239,"Thu, 26 Mar 2020 04:00:00 GMT",2020,O,0,0,0,0,0,0,0,2,2. Angle,5. Rain
COVID disruption,-77.09469,38.820395,"Sat, 11 Jul 2020 04:00:00 GMT",2020,B,0,0,1,0,1,0,0,1,16. Other,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.089533,38.817578,"Sat, 01 Aug 2020 04:00:00 GMT",2020,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.096054,38.821197,"Sat, 07 Nov 2020 05:00:00 GMT",2020,B,0,0,1,3,4,0,0,5,9. Fixed Object - Off Road,4. Mist
COVID disruption,-77.101253,38.823215,"Fri, 01 Jan 2021 05:00:00 GMT",2021,C,0,0,0,1,1,0,0,2,6. Fixed Object in Road,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.104196,38.824511,"Mon, 08 Feb 2021 05:00:00 GMT",2021,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.089338,38.817381,"Mon, 26 Apr 2021 04:00:00 GMT",2021,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.089533,38.817578,"Sun, 11 Jul 2021 04:00:00 GMT",2021,O,0,0,0,0,0,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.097681,38.821848,"Tue, 09 Nov 2021 05:00:00 GMT",2021,O,0,0,0,0,0,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
COVID disruption,-77.104179,38.824053,"Fri, 10 Dec 2021 05:00:00 GMT",2021,O,0,0,0,0,0,0,0,2,2. Angle,5. Rain
Post-COVID,-77.089551,38.817416,"Tue, 29 Mar 2022 04:00:00 GMT",2022,B,0,0,2,0,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Post-COVID,-77.104215,38.824107,"Fri, 13 May 2022 04:00:00 GMT",2022,B,0,0,4,1,5,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Post-COVID,-77.104275,38.824077,"Sun, 15 May 2022 04:00:00 GMT",2022,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
Post-COVID,-77.098341,38.822105,"Tue, 07 Jun 2022 04:00:00 GMT",2022,O,0,0,0,0,0,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy)
Post-COVID,-77.089551,38.817416,"Tue, 05 Jul 2022 04:00:00 GMT",2022,O,0,0,0,0,0,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy)
